rank,percentile,smi,score
220,98.905,Cc1ccc2ncc(CNC[C@@H]3CCCN(C)[C@H]3c3cncn3C)n2c1,0.2302
221,98.900,CCc1cc(=O)oc2cc(OCc3c(C)c(C)cc(C)c3C)ccc12,0.2302
222,98.895,CCN(Cc1ccccc1)C(=O)c1cc(NS(=O)(=O)c2ccc(F)cc2)ccc1N1CCNCC1,0.2299
223,98.890,Cn1cc(CN2CCC(O)(c3cccc(C(F)(F)F)c3)CC2)cn1,0.2297
224,98.885,Cc1ccc(S(=O)(=O)N(CC(O)Cn2nc(C)cc2C)c2cccc([N+](=O)[O-])c2)cc1,0.2295
225,98.880,CCn1c(CCc2cccc(NS(=O)(=O)c3cc(C)ccc3C)c2)nc2ccccc21,0.2293
226,98.875,C=CCN(CC(=O)N(Cc1ccc2c(c1)OCO2)Cc1sccc1C)S(=O)(=O)c1ccccc1,0.2291
227,98.870,COc1cc(CNC2CCCCCCC2)ccc1OC[C@@H](O)CN1CCSCC1,0.2289
228,98.865,Cc1oc(-c2ccc(C(=O)Nc3ccc4c(c3)OCCO4)cc2)nc1CS(=O)(=O)c1ccccc1,0.2281
229,98.860,CCOC(=O)C1(Cc2cccc(C(F)(F)F)c2)CCN(Cc2ccc(C)s2)CC1,0.2279
230,98.855,CCN(c1cccc(C)c1)c1nc(-c2ccccc2)ncc1C(=O)N1CCC2(CC1)OCCO2,0.2270
231,98.850,COc1cc(Nc2c3c(nc4ccccc24)CCC3)cc(OC)c1OC,0.2266
232,98.845,CCN(Cc1cnn(CC)c1)c1nc(-c2ccc(OC)cc2)nc2c1CCOCC2,0.2266
