cid,smiles,molecular_weight
2998,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,293.4
3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74
3017,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,304.35
3019,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,230.67
3023,C1=CC=C2C(=C1)C3=CC=CC=C3S2,184.26
3024,C(Br)Br,173.83
3025,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,343.5
3026,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,278.34
3030,COC1=C(C=CC(=C1C(=O)O)Cl)Cl,221.03
3031,C1=CC(=C(C(=C1)Cl)C#N)Cl,172.01
3035,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,318.0
3036,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,354.5
3037,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,269.12
3038,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,305.2
