cid,smiles,molecular_weight
6047,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,197.19
6051,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,197.24
6053,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,225.29
6054,C1=CC=C(C=C1)CCO,122.16
6075,CN1CCCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42,310.5
6099,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],319.9
6128,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,286.4
6129,CNC(=O)OC1=CC=CC2=CC=CC=C21,201.22
6166,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,330.5
6167,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,399.4
6197,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,281.35
6215,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O,452.5
6230,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,298.4
6231,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3CCC(=O)C4,298.4
6238,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,330.5
6252,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O.Cl,279.68
6253,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,243.22
6279,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,386.5
6291,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC,310.4
6294,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,320.0
6295,CCC1=CC=C(C=C1)C(C2=CC=C(C=C2)CC)C(Cl)Cl,307.3
6300,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CCC4=CC(=O)C=C[C@]34C,300.4
6301,CC1=NC2=C(C=C1)C(=CC(=C2O)Cl)Cl,228.07
6319,C1=CC=C(C=C1)NC2=CC=C(C=C2)NC3=CC=CC=C3,260.3
6336,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,288.77
6389,C(F)(Cl)(Cl)Cl,137.36
6446,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3CC[C@]4(C)O)C)O)F,336.4
6456,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)Cl,278.8
6478,C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl,272.8
6518,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],316.14
6527,CC1=CC=CC=C1OP(=O)(OC2=CC=CC=C2C)OC3=CC=CC=C3C,368.4
6528,CC1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,340.3
6529,CC1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)C)OC3=CC=C(C=C3)C,368.4
6536,CCN(CC)CCOC1=CC=C(C=C1)C(CC2=CC=C(C=C2)Cl)(C3=CC=C(C=C3)C)O,438.0
6537,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,434.6
6597,C(C(=O)O)(Cl)Cl,128.94
6621,C1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)Cl,252.72
6625,C1=CC(=CC=C1S(=O)(=O)C2=CC=C(C=C2)Cl)Cl,287.2
6633,CC1=CC=C(C=C1)S(=O)(=O)NC2CCCCC2,253.36
6635,C1=CC(=CC=C1OS(=O)(=O)C2=CC=C(C=C2)Cl)Cl,303.2
6636,C1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)Cl,268.72
6669,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C,294.30
6672,CC1=C(C(=CC=C1)C)[N+](=O)[O-],151.16
6702,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)N,237.25
6719,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,340.4
6724,C1=CC2=C3C(=C1)C(=O)C(=O)C3=CC=C2,182.17
6730,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(=O)O)Cl,281.1
6732,CC(C)(C)C(=O)C1C(=O)C2=CC=CC=C2C1=O,230.26
6741,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,374.5
6758,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,394.4
6769,CCOC(=O)OC1=C(C=C(C=C1OC)C(=O)O[C@@H]2C[C@@H]3CN4CCC5=C([C@H]4C[C@@H]3[C@@H]([C@H]2OC)C(=O)OC)NC6=C5C=CC(=C6)OC)OC,666.7
6772,CCC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,236.26
6777,C1CCC(CC1)OC(=O)C2=CC=CC=C2C(=O)OC3CCCCC3,330.4
6778,C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2C(=O)OC3=CC=CC=C3,318.3
6787,CCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCC,418.6
6796,C1=CC=C2C(=C1)C=CC3=C2C=CC=N3,179.22
