target,input_id,r_epik_Population,r_epik_State_Penalty,r_epik_acidic_macro-pKa_1,r_epik_acidic_macro-pKa_2,"r_epik_macro-pKa_(-1,0)","r_epik_macro-pKa_(-2,-1)",r_i_docking_score,r_i_glide_ecoul,r_i_glide_eff_state_penalty,r_i_glide_einternal,r_i_glide_emodel,r_i_glide_energy,r_i_glide_erotb,r_i_glide_esite,r_i_glide_evdw,r_i_glide_gscore,r_i_glide_hbond,r_i_glide_ligand_efficiency,r_i_glide_ligand_efficiency_ln,r_i_glide_ligand_efficiency_sa,r_i_glide_lipo,r_i_glide_metal,r_i_glide_rewards
ESR2,BPA_CID6623__prepared_state_008::ESR2::pose_00069,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.638602803241946,-7.645101099960917,0.0018912202000829093,0.8821542672727469,-52.93948745797687,-35.63895236047959,0.6537926348342753,0.0,-27.993851260518674,-8.640494023442029,-0.45599999999999996,-0.5081531060730556,-2.2536190991396214,-1.3066047268814498,-3.582667084565038,-0.0,-2.709161845691196
ESR2,BPA_CID6623__prepared_state_008::ESR2::pose_00070,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.621749475304478,-7.229029661370949,0.0018912202000829093,3.296511209280583,-51.268775933372474,-35.21002441258944,0.6537926348342753,0.0,-27.980994751218493,-8.62364069550456,-0.33142806958403453,-0.5071617338414399,-2.2492224411858968,-1.3040556297128063,-3.858170442408781,-0.0,-2.604430631579453
ESR2,BPA_CID6623__prepared_state_008::ESR2::pose_00078,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.59791764432705,-6.921680398914301,0.0018912202000829093,1.400216648552938,-52.57700435822149,-35.61903969241601,0.6537926348342753,0.0,-28.69735929350171,-8.599808864527132,-0.33846813403546644,-0.5057598614310029,-2.2430052471926687,-1.300451020991398,-3.8412122391219645,-0.0,-2.600801101691746
ESR2,BPA_CID6623__prepared_state_008::ESR2::pose_00084,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.532667356560651,-5.745760361324971,0.0018912202000829093,1.6314014244156914,-51.381262251102314,-34.67286903743225,0.6537926348342753,0.0,-28.92710867610728,-8.534558576760734,-0.337576693161081,-0.5019216092094501,-2.225982900166883,-1.2905817937138162,-3.882470599779645,-0.0,-2.660084430650174
ESR2,BPA_CID6623__prepared_state_008::ESR2::pose_00086,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.529530736278005,-6.268115855885009,0.0018912202000829093,0.8825818614412917,-52.39124671284028,-35.31488417127514,0.6537926348342753,0.0,-29.046768315390132,-8.531421956478088,-0.4090859718730166,-0.5017371021340002,-2.22516462578424,-1.2901073740673659,-3.6572121516677747,-0.0,-2.726360673619314
ESR2,BPA_CID6623__prepared_state_008::ESR2::pose_00096,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.478439252589718,-7.205161140335854,0.0018912202000829093,2.1820784456088074,-51.02089848369461,-34.699190885320405,0.6537926348342753,0.0,-27.494029744984548,-8.4803304727898,-0.3942821331895065,-0.49873172074057165,-2.2118359954413687,-1.2823796922175361,-3.5912660211684337,-0.0,-2.69309929496653
ESR2,BPA_CID6623__prepared_state_008::ESR2::pose_00099,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.47225364835986,-7.205873134027616,0.0018912202000829093,1.527604020018856,-51.207887201219705,-34.57164335267647,0.6537926348342753,0.0,-27.36577021864885,-8.474144868559943,-0.39372965099075147,-0.49836786166822705,-2.210222309044432,-1.2814441080832224,-3.577635878624137,-0.0,-2.7074024927427445
ESR2,BPA_CID6623__prepared_state_008::ESR2::pose_00105,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.441864213089213,-5.722501521550498,0.0018912202000829093,0.6684636510560447,-51.83498926445607,-34.83157416082507,0.6537926348342753,0.0,-29.109072639274572,-8.443755433289295,-0.38784467356402347,-0.49658024782877724,-2.2022943821217713,-1.2768476495266392,-3.7158125434230462,-0.0,-2.680061990940196
ESR2,BPA_CID6623__prepared_state_008::ESR2::pose_00139,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.268396737787292,-7.1533914885432495,0.0018912202000829093,1.4277476616279792,-50.957360148287044,-34.68976954056937,0.6537926348342753,0.0,-27.53637805202612,-8.270287957987374,-0.45599999999999996,-0.4863762786933701,-2.157040580746249,-1.250610371537122,-3.3860153821421397,-0.0,-2.6322375847967185
ESR2,BPA_CID6623__prepared_state_008::ESR2::pose_00143,0.9968127480663589,0.0018912202000829093,9.897,9.897,9.897,9.897,-8.255968063399354,-5.2452485756127,0.0018912202000829093,1.9406831837385612,-47.39770858849117,-31.412105662442077,0.6537926348342753,0.0,-26.166857086829378,-8.257859283599437,-0.45599999999999996,-0.485645180199962,-2.1537982163714067,-1.2487305114400638,-3.6079779368412477,-0.0,-2.752543840909091
